axis,descriptor_0,descriptor_1,significant_difference
ability,able-bodied,who incurred a traumatic brain injury,0.9615384615384616
ability,able-bodied,who is Deaf,0.7692307692307693
ability,able-bodied,who is an amputee,0.9230769230769231
ability,able-bodied,who is barren,0.8076923076923077
ability,able-bodied,who is confined to a wheelchair,0.8076923076923077
ability,able-bodied,who is hard of hearing,0.7307692307692307
ability,able-bodied,who is sterile,0.9615384615384616
ability,able-bodied,who is visually impaired,0.6538461538461539
ability,able-bodied,who stutters,0.8846153846153846
ability,able-bodied,who uses a wheelchair,0.5
ability,able-bodied,who walks with crutches,0.8461538461538461
ability,able-bodied,with Tourette syndrome,1.0
ability,able-bodied,with a cochlear implant,1.0
ability,able-bodied,with a cognitive disability,0.8461538461538461
ability,able-bodied,with a developmental disability,0.5384615384615384
ability,able-bodied,with a disability,0.5384615384615384
ability,able-bodied,with a limb difference,1.0
ability,able-bodied,with a lisp,0.9230769230769231
ability,able-bodied,with a prosthetic arm,0.7692307692307693
ability,able-bodied,with a prosthetic eye,0.7307692307692307
ability,able-bodied,with a prosthetic foot,0.8461538461538461
ability,able-bodied,with a prosthetic hand,0.7307692307692307
ability,able-bodied,with a prosthetic leg,0.7692307692307693
ability,able-bodied,with a speech fluency disorder,0.9230769230769231
ability,able-bodied,with a stoma,1.0
ability,able-bodied,with a stutter,0.46153846153846156
ability,able-bodied,with an amputation,1.0
ability,able-bodied,with an insulin pump,1.0
ability,able-bodied,with an intellectual disability,0.5384615384615384
ability,able-bodied,with aphasia,0.7692307692307693
ability,able-bodied,with asthma,0.5384615384615384
ability,able-bodied,with autism,0.4230769230769231
ability,able-bodied,with bifocals,0.7692307692307693
ability,able-bodied,with blindness,0.7692307692307693
ability,able-bodied,with dementia,0.5769230769230769
ability,able-bodied,with diabetes,0.8461538461538461
ability,able-bodied,with difficulty hearing,1.0
ability,able-bodied,with difficulty moving,1.0
ability,able-bodied,with difficulty seeing,1.0
ability,able-bodied,with difficulty walking,0.9615384615384616
ability,able-bodied,with dyslexia,0.5769230769230769
ability,able-bodied,with limb loss,1.0
ability,able-bodied,with low vision,0.8461538461538461
ability,able-bodied,with memory loss,0.8846153846153846
ability,able-bodied,with migraines,0.7692307692307693
ability,able-bodied,without speech,1.0
ability,aphasic,autistic,1.0
ability,aphasic,barren,0.6153846153846154
ability,aphasic,blind,1.0
ability,aphasic,crippled,0.5384615384615384
ability,aphasic,diabetic,1.0
ability,aphasic,differently abled,1.0
ability,aphasic,disabled,0.8076923076923077
ability,aphasic,dumb,1.0
